2a12:3fc2:e610::/44,CN,,
2a12:3fc2:e610::/46,CN,CN-HN,
2a12:3fc2:e610::/48,CN,CN-HN,Changsha
2a12:3fc2:e611::/48,CN,CN-HN,Changsha
2a12:3fc2:e612::/48,CN,CN-HN,Changsha
2a12:3fc2:e613::/48,CN,CN-HN,Changsha
2a12:3fc2:e614::/46,CN,CN-GD,
2a12:3fc2:e614::/48,CN,CN-GD,Guangzhou
2a12:3fc2:e615::/48,CN,CN-GD,Guangzhou
2a12:3fc2:e616::/48,CN,CN-GD,Guangzhou
2a12:3fc2:e617::/48,CN,CN-GD,Guangzhou
2a12:3fc2:e618::/46,CN,CN-HA,
2a12:3fc2:e618::/48,CN,CN-HA,Zhengzhou
2a12:3fc2:e619::/48,CN,CN-HA,Luoyang
2a12:3fc2:e61a::/48,CN,CN-HA,
2a12:3fc2:e61b::/48,CN,CN-HA,
2a12:3fc2:e61c::/48,CN,CN-SH,Shanghai
2a12:3fc2:e61d::/48,CN,CN-ZJ,Hangzhou
2a12:3fc2:e61e::/48,CN,CN-ZJ,Ningbo
2a12:3fc2:e61f::/48,CN,
